Lmao @_HimOverThere5 is a bully,3
@m_krina you used to get bullied :(,0
@roossc @staresinka yes yes...we don't bully you! :D,1
I am being bullied by David Hernandez,4
@TheKittyKat144 I'm sorry you get bullied. I'm really surprised at how many people this has happened to. #bulliesSuck,3
love mean by taylor swift. as a child i was bullied. but now i'm going to a private college. take that Destiny T.,4
"@GeminiTrick lmao, nigga then ur b a bully! Smh & I would beat the shi out of u!",0
Sheesh. River is such the little bully. Poor Fray. #felinedrama,3
....my mommy is such a bully,3
@KMFMelvin @kerryyyyyyyyy @jolenees why exactly do u have his slipper o.o U bully ppl till take their slipper o.o,0
people should stop bullying my asian boyfriend for being short.,2
#teamgoodguys  #bulliesSuck #ihatecyberbullying ...Something awesome just happened. @TheZachMills just kicked a cyberbully's butt!! ;D,3
BULLYING THE CHUBBY COUPLE DAMN FUN LEH :D,1
"@Rissuh123 awe! hahah how cute. i hate the mostttt when kids bully him, i seriously want to strangle them all. -___-",3
@XoXo_Bombshell_ yu bullied me but I miss yu!!!! Haha,4
"If Boehner has any spine, he will put the American people first and not grant Obama's intentional bullying tactics #teaparty #gop #tcot",3
The mean bully girl from the old neighborhood sent me ANOTHER FB friends request.,3
"@LilLovatic They knew about me being bullied at school, but they don't know about the panic attack or these days (cont) http://t.co/d8wEj9k",4
"I mean go ahead- play, but I don't get why you're doing it. Basically, bullying a daft old man without reason's not that funny. #knockandrun",3
@DjLBully shut up bully.. U love me,0
@laurenellisxxx awwr you bully! (: anyways you free monday?,0
My friends are some bullies btw lolx they get a kick out of bullying smh #randomthought,3
You still a bully tho,0
@ICONIACATTAKNO Cause I'm a good person and trying 2 get u guys 2 stop bullying ppl online it cruel.,2
Please don't let people commit #suicide. I lost my younger brother to suicide. He killed himself because he was being #bullied.Support #gays,3
"@momarazzi95 Respect to you and Zach. Bullying should never be tolerated in any form. Have a nice day, Kerry :)",3
"@irksra okay, when she phones back just tell her the facts straight out about your situation. don't let her guilt trip you or bully you, ok?",2
maria is a flipping bully.,3
Mariah over here beating up the cat...lol#bully,3
@riley_griffiths @TheZachMills I have been bullied at times an its not fun so i know how it feels. And if some1 created account to bully ug,4
@iamjackbryson oi don't bully me! : ( spiders are scary!xx,4
"So today in my teen leadership class, this girl started crying cuz she's getting bullied. She almost took her life. Words hurt #stopbullying",3
Ew I come back and everyone is hating on @gagaglobal for one small mistake...Stop bullying Monsters! Please enough drama on here already.,2
@MrAisagbonhi. Erm...I'm kinda scared bcos @MrAisagbonhi is a bully,3
@charlieeEvanss whatever your just a bully.. Bye!,0
Lmfao @_KinkyTera  a thug i caint slay her when i say shit she wanna.bully me nd shit lol,4
@JosephJ89 bully - pouts-,0
"Then I thought he bullied me because he loved me, but he prooved I was wrong , one more time.",4
@KMaddock_ I think KMaddock you 'may' feel you have  been bullied and are preferring attention of this sooner than going to a court,0
"@timpayton un'frikin'believable  yet AGAIN we get knocked.  Wtf is wrong with us ?

Why do we get bullied so easy into selling cheap ??",4
"Lol. I'm about to call the cyber bully hotline, & report all yall Twitter names. Beef on that.",3
@TeddyDuncan2 G; I dont know! All my life ive bullied cuzz im fat or ugly! I dont believe anyone now !,4
"@_1Dinfection You don't need to be a bully though, do you? How would you feel if you had all these people saying horrible things to you all",0
@_AyeEsAychAye lol. Ok asha. I'm not being a bully.,1
Paul and Bex are bullying me.,4
My boyfriend is bullying me...  @TonyFlo7,4
"@jeyMAMi lmao, i kno u right. but they should take it personal. damn so ima internet bully now, smh lol i hope i dont drive nobody crazy",1
BUT I'm no Bully,1
"@eZhenKHJEN Walao you see la, you bad friend, bully again :( :( :( I am lor, don't deny the truth!",0
@jessiejofficial Isn't your single about bullying? yeah okay then why you bullying @BethMcAneny shes your fan thats fucking ridiculous.,0
@_Vanna817 who bullying u,2
@HenryMarshFRCS I expect you thought you could silently get away with bullying an innocent person without any backlash? #bigmistake,0
"@stevie_reed your just bullying me, you love me so..",4
"lmfaoo , is tonya bullying mary??",3
@iMBoutDatTweet you a bully,0
"funny how the person that bullies you in elementary is ugly as fuck in high school, and your high school bully, a loser in college...",2
[CL7] Who bully jjongie?!!! *angry* http://t.co/tZTFCbX,3
"i was threaten that i was gonna be called by the cops, all due cus of cyber bulling",1
LOOOOOOOOOOOL I LOVE BULLYING THAT GIRL,1
"Lmao , I'm Not A Bully ! Shut Up .",1
@HBluvsDDLOVATO they're bullying her tbh.,3
